한글,영어,일어
저항도,resistivity, 抵抗率
레졸,resol, レゾ－ル【樹脂】
"분별, 분리, 분할",resolution, (1)分 割【ラセミ體の】  (2)分解  (3) 分解能
라세미체 분할,resolution of racemate,
분해 연산자,resolvent operator,
분할제,resolving agent,
"분리능, 분해능",resolving power, (1)分解能  (2)解像力
공명,resonance, (1)共鳴  (2)共振
공명 효과,resonance effect,
공명 에너지,resonance energy, 共鳴エネルギ－
공명 형광,resonance fluorescence,
공명 혼성(체),resonance hybrid, 共鳴混成體
공명 적분,resonance integral,
공명 상호작용,resonance interaction,
공명선,resonance line,
공명라만효과,resonance Raman effect, 共鳴ラマン 果
공명 신호,resonance signal,
공명 안정화,resonance stabilization,
공명구조,resonance structure,
공명 전이,resonance transition,
공명 흡수,resonant absorption,
공명 충돌,resonant collision,
레소시놀,resorcinol, レソルシノ－ル
호흡,respiration, 呼吸[作用〕
호흡마스크,respirator, 呼吸マスク
호흡률,respiratory quotient, 呼吸商
정지 질량,rest mass,
정지점,rest point, 靜止點【てんびん】
휴면포자,resting spore,
제한된 회전,restricted rotation, 束縛回轉
제한 효소,restriction enzyme, 制限酵素
제한 지도작성,restriction mapping,
"억제, 지연",retardation, (1)遲 延  (2)抑 制【觸】
"뒤처짐시간, 지연시간",retardation time, 遲延時間
지연탄성,retarded elasticity, 遲延彈性
"지연체, 지연제",retarder, (1)加硫遲延劑【ゴム】  (2)リタ-ダ-【塗】  (3)凝結遲緩劑【セメント】
완염제,retarding agent, 緩染劑【染】
"머무름, 보존<<배열의>>",retention, (1)保 持  (2)保持率
머무름 지수,retention index,
머무름 시간,retention time, 保持時間
머무름 부피,retention volume, 保持體積【クロマトグラフィ－】
머무름,retentivity, 滯留性
레티노올,retinol, レチノ－ル
레토르트,retort, レトルト
레토르트탄소,retort carbon, レトルトカ－ボン
역알돌응결,retro-aldol condensation, 逆アルド－ル縮合
역배위 결합,retrodative bonding,
되돌림 방해,retroinhibition,
되돌림 반응,retroreaction,
역합성,retrosynthesis,
역전,reversal, 反 轉
역전 기술,reversal technique,
역바이어스,reverse bias,
역하이퍼콘쥬게이션,reverse hyperconjugation,
역삼투,reverse osmosis, 逆浸透
역수색,reverse search,
역전사 효소,reverse transcriptase, 逆轉寫酵素
역상,reversed phase,
역상 크로마토그래피,reversed-phase chromatography, 逆相クロマトグラフィ－
가역성,reversibility,
가역의,reversible,
가역 전지,reversible cell, 可逆電池
가역 변화,reversible change,
가역 순환 (과정),reversible cycle,
가역 전극,reversible electrode, 可逆電極
가역전극전위,reversible electrode potential, 可逆電極電位
"가역방해, 가역억제",reversible inhibition, 可逆阻害
가역중합,reversible polymerization, 可逆重合
가역 과정,reversible process, 可逆過程
가역 반응,reversible reaction, 可逆反應
가역파,reversible wave,
가역적인 일,reversible work,
가역(성),reversion, 加硫戾り【ゴム】
복귀법,reversion method,
레이놀드수,Reynolds number, レイノルズ數
라디오 반송파,Rf carrier,
라디오파 발진기,Rf oscillator,
"라디오파 분광법, 라디오파 분광학",Rf spectroscopy,
Rf 값,Rf value,
레늄,rhenium, レニウム
레올로지,rheology, レオロジ-
유변물성측정기,rheometer, レオメ－タ－
검전기,rheoscope,
로듐,rhodium, ロジウム
홍조식물,Rhodophyta,
로돕신,rhodopsin, ロドプシン【タンパク質】
사방결정,rhombic crystal,
"비등축 십이면체, 사방 십이면체",rhombic dodecahedron,
마름모형,rhombohedral,
마름모 (결정)계,rhombohedral system,
리보플라빈,riboflavin, リボフラビン
리보뉴클레아제,ribonuclease, リボヌクレア－ゼ
리보뉴클레오시드,ribonucleoside, リボヌクレオシド
리보뉴클레오티드,ribonucleotide, リボヌクレオチド
리보오스,ribose, リボ－ス
리보좀,ribosome, リボソ－ム
리불로오스,ribulose,
라이더,rider, ライダ－
"오른손잡이성, 우선성",right-handedness,
경직형,rigid form,
강성바탕질,rigid matrix, 剛性マトリックス
강체 회전자,rigid rotor, 剛體回轉子
"강성율, 강도",rigidity, こわさ
강성계,rigidometer, 剛性計
고리분석,ring analysis, 環分析
환구식방법,ring and ball method, 環球法
고리 닫힘,ring closure,
고리 축소 반응,ring contraction,
고리 전류,ring current, 環電流【磁氣共鳴】
고리 모양 섬유 구조,ring fiber structure,
고리 형성 (반응),ring formation, 環形成
고리입구,ring gate, 輪狀ゲ－ト
고리그리스,ring grease, リンググリ－ス
고리 반전,ring inversion,
고리가마,ring kiln, 輪 窯
고리 열림,ring opening,
스탠드,ring stand,
"고리 긴장, 고리 무리, 고리 스트레인",ring strain,
고리-사슬 토토머화 (현상),ring-chain tautomerism,
고리 닫기 반응,ring-closing reaction,
개환중합,ring-opening polymerization, 開環重合
"성숙, 숙성",ripening, 熟 成
잔물결,ripple,
"상승시간, 성장시간",rise time, 立上り時間
상승관,riser, ライザ-【石油】
주행옥탄가,road octane number, 走行オクタン價
배소로,roasting furnace, ばい燒爐
로쉘염,Rochelle salt, ロシェル鹽
바위,rock, ぼ た【石炭】
인광석,rock phosphate, リン鑛石
좌우 흔듬 방식,rocking mode,
좌우 흔듬 진동,rocking vibration, 橫ゆれ振動【分光】
암염 구조,rock-salt structure,
록크웰경도,Rockwell hardness, ロックウェル硬さ
롤조쇄기,roll crusher, ロ－ルケラッシャ－
막대 황,roll sulfur,
압연관,rolled tube, 壓延管
롤러칠,roller coating, ロ－ラ－塗【塗】
"굴림대분쇄기, 로울러분쇄기",roller mill, ロ－ラ－ミル
로울러인쇄,roller printing, ロ－ラ－なせん
굴림마찰,rolling friction, 轉がり摩擦
압연유,rolling oil, 壓延油
실온,room temperature, 室 溫
실온경화접착제,room-temperature-setting adhesive, 室溫硬化接着劑
근 평균 제곱 속력,root mean square speed,
근 평균 제곱 속도,root mean square velocity,
로제합금,Rose's metal,
송진,rosin, ロジン
송진에스테르,rosin ester, エステルガム
송진그리스,rosin grease, ロジングリ－ス
송진기름,rosin oil, ロジン油
송진비누,rosin soap, ロジンせっけん
회전조류,rotary current,
회전건조기,rotary dryer, 回轉乾燥機
회전가마,rotary kiln, ロ－タリ－キルン
회전 펌프,rotary pump, 回轉ポンプ
회전적하수은전극,rotated dropping mercury electrode, 回轉滴下水銀電極
회전전극,rotating electrode, 回轉電極
회전,rotation,
회전축,rotation axis, 回轉軸
회전스펙트럼,rotation spectrum, 回轉スペクトル
회전 상수,rotational constant, 回轉定數
회전 에너지,rotational energy, 回轉エネルギ－
회전 운동,rotational motion,
회전 분광법,rotational spectroscopy,
회전 스펙트럼,rotational spectrum, 回轉スペクトル
회전점도계,rotational viscometer, 回轉粘度計
회전확산,rotatory diffusion, 回轉擴散
선광능,rotatory power, 旋光能
어림 저울,rough balance,
거칠기,roughness,
거칠기인자,roughness factor,
둥근가마,round kiln, 丸がま
둥근 바닥 플라스크,round-bottom flask, 丸底フラスコ
반올림,rounding off, 丸 め【數値】
회진전,rovibronic,
"조방사, 로빙",roving, (1)相 紡  (2)練紡
고무,rubber, ゴ ム
고무시멘트,rubber cement, ゴムのり
물분산고무,rubber dispersion, 水分散ゴム【ゴム】
고무탄성,rubber elasticity, ゴム彈性
고무염산,rubber hydrochloride, 鹽酸ゴム
고무라텍스,rubber latex, ゴムラテックス
"고무방수포, 점착방지제",rubber repellant, 粘着防止劑【ゴム】
고무마개,rubber stopper, ゴム栓
방진고무,rubber vibration insulator, 防振ゴム
고무도포직물,rubber-coated fabric, ゴム引布
문지르기,rubbing, 硏 磨【塗】
문지르기시험,rubbing test, 摩擦試驗【染】
문지르기니스,rubbing varnish, 硏磨ワニス
루비듐-스트론튬 연대 측정,rubidium-strontium dating,
루비 레이저,ruby laser,
등회전 규칙,rule of isorotation,
이동 규칙,rule of shift,
중첩 규칙,rule of superposition,
흐름길,runner,
운전,running, (1)運　轉 (2)流 れ【塗】 (3)ランニング【樹脂】
파열판,rupture disk, 破裂板
녹방지제,rust preventives, さび止め劑
녹,rusting,
녹방지그리스,rust-preventing grease, さび止めグリ－ス
녹방지기름,rust-preventing oil, さび止め油
녹방지,rust-proofing, さび止め
루테늄산 염,ruthenate, ルテニウム酸鹽
루테늄,ruthenium, ルテニウム
라더포드,Rutherford,
루틸,rutile, ルチル
루틸 구조,rutile structure,
루틸형산화티탄,rutile-type titanium dioxide, ルナル型酸化チタン
리드버그상수,Rydberg constant, リュ－ドベリ定數
리드버그상태,Rydberg state, リュ-ドベリ狀態
당질,saccharide,
당류,saccharides, 糖 類
당화,saccharification, 糖化
당 편광계,saccharimeter, 檢糖計
사카린,saccharin, サッカリン
당화효소,saccharogenic amylase,
삭스반응,Sachse reaction,
희생 양극,sacrificial anode,
손실성 하이퍼콘쥬게이션,sacrificial hyperconjugation,
안장점,saddle point,
안전막,safety film, 安全フィルム
안전유리,safety glass, 安全ガラス
안전잉크,safety ink, 安全インキ
안전여닫개,safety valve, 安全弁
처짐,sagging, たるみ【塗】
항양도,sailing chart,
살 암모니아크,sal ammoniac,
살리실알데하이드,salicylaldehyde, サリチルアルデヒド
살리실산,salicylic acid, サリチル酸
소금꼴 수소화물,saline hydride,
염도,salinity, 鹽 分【水質】
염도계,salinometer,
"소금, 염",salt, 鹽
염 다리,salt bridge, 鹽 橋
염 효과,salt effect, 鹽〔類] 果
염 오차,salt error,
염 생성,salt formation,
염유약,salt glaze, 鹽ぐすり【窯】
염 수화물,salt hydrate,
염결합,salt linkage, 鹽結合
염수축,salt shrinking, 鹽 縮
염분무시험,salt spray test, 鹽水噴霧試驗
내염수성,salt water resistance, 耐鹽水性【塗】
식염종이,salted paper, 食鹽紙
가염,salting, 加 鹽
염용,salting-in,
염용 효과,salting-in effect,
염석,salting-out, 鹽 折
염석 효과,salting-out effect,
사마륨,samarium, サマリウム
"시료, 추출하다",sample, (1)試 料  (2)標本  (3)見 本
시료전지,sample cell, 試料セル
"시료 걸이, 시료 잡이",sample holder,
시료 주입기,sample injector,
시료 봉우리,sample peak,
시료용액,sample solution, 試料溶液
시료채취기,sampler, 試料採取器
"시료채취, 표본추출",sampling, (1)試料採取  (2)拔取り  (3)サンプリング
시료 보트,sampling boat,
시료 채취법,sampling technique,
모래 중탕,sand bath, 砂 浴
모래배양,sand culture, 砂培養
모래연마기,sander, 硏磨機【塗】
"모래분사, 모래연마",sanding, 硏 磨【塗】
샌드마이어반응,Sandmeyer reaction,
샌드위치 화합물,sandwich compound,
위생 매립,sanitary landfill,
위생도기,sanitary ware, 衛生陶器
"비누화 (반응), 에스테르 가수분해 (반응)",saponification, けん化
"사파이어, 청옥",sapphire,
위성,satellite, サテライト
위성선,satellite line,
위성 봉우리,satellite peak,
위성 서열,satellite sequence,
가포화색소,saturable dye, 可飽和色素
포화 칼로멜 전극,saturated calomel electrode, 飽和カロメル電極
포화화합물,saturated compound, 飽和化合物
포화 용액,saturated solution, 飽和溶液
포화 증기 압력,saturated vapor pressure,
포화온도,saturation temperature, 飽和溫度
스칼라,scalar,
"눈금, 비늘, 척도, 축적",scale, (1)はかり (2)スケ－ル
척도효과,scale effect, (1)スケ－ル 果  (2)寸法 果
척도인자,scale factor,
척도접시,scale pan, はかり皿
대형화,scale up, スケ－ルアップ
"계수기, 계수 장치",scaler,
스케일생성,scaling, 大はがれ【塗】
축척 법칙,scaling law,
주사 속도,scan rate,
스칸듐,scandium, スカンジウム
훑음,scanning,
훑음열량계,scanning calorimeter, 走査熱量計
훑음속도,scanning rate,
주사식 터널 현미경법,scanning tunneling microscopy,
산란,scattering, 散 亂
산란계수,scattering coefficient,
산란 단면(적),scattering cross section,
산란인자,scattering factor, 散亂因子
"산란 간섭, 산란 방해",scattering interference,
산란능,scattering power,
"스캐빈져, 청소군",scavenger, (1)スカベンジャ－  (2)捕そく劑
청소,scavenging,
자체일관성 장,SCF,
쉬프염기,schapping, 腐化練り
쉽염기,Schiff base, シッフ鹽基
슐리렌 사진,schlieren photograph,
섬광 계측기,scintillation counter, シンチレ－ション計數器
섬광막,scintillation screen,
"섬광제, 섬광체",scintillator, シンチレ－タ-
잘 잘리는 결합,scissile bond,
절단,scission, 切斷
가위질 방식,scissoring mode,
가위질 진동,scissoring vibration, はさみ振動【分光】
"눌음, 스코취",scorching, スコ－チ【ゴム】
정련,scouring, (1)精 練【染】  (2)練り【染】
정련제,scouring agent, 精練劑
정련손실,scouring loss, 練り減り
뒤섞임,scrambling,
조각,scrap, スクラップ
긁힘경도,scratch hardness, 引っかき硬さ
내긁힘성,scratch resistance, 耐引っかき性
스크린인쇄,screen printing, スクリ－ンなせん
가리워진 원자핵,screened nucleus,
"가리움, 차폐, 체질",screening, (1)スクリ－ニング  (2)ふるい分け
"가려막기 효과, 가리움 효과",screening effect,
나사축,screw axis, らせん軸
"나사형 어긋나기, 나사형 어긋남",screw dislocation,
세정장치,scrubber, スクラッバ－
가스세척병,scrubbing bottle, ガス洗淨甁
해저확장설,sea-floor spreading theory,
밀폐관,sealed tube, 封 管
밀폐관 반응,sealed tube reaction,
밀봉,sealing, (1)シ－リング  (2)密封  (3)封 孔【表面技術】  (4)封着【ガラス】
밀봉왁스,sealing wax, 封ろう
해저산,seamount,
"건조, 길들임",seasoning,
해상풍,sea-surface wind,
바다물,seawater, 海 水
바다물담수화,seawater desalination, 海水淡水化
바다물마그네시아,seawater magnesia, 海水マグネシア
해수성질,seawater properties,
세박산,sebacic acid, セバシン酸
투명도판,Secchi disc,
"열역학 제2법칙, 열역학 제이법칙",Second Law of thermodynamics,
제이 전령,second messenger,
2차모멘트,second moment, 二次モ－メント
이차 반응,second order reaction,
2차촉진제,secondary accelerator, 二次促進劑
2차공기,secondary air, 二次空氣
제2급알코올,secondary alcohol, 第二級アルコ－ル
제2급아민,secondary amine, 第二級アミン
제2급탄소원자,secondary carbon atom, 第二級炭素原子
2차점토,secondary clay, 二次粘上
이차 전자,secondary electron,
이차 전자 증배관,secondary electron multiplier,
2차폭약,secondary explosive, 二次爆藥
"이차 흡광 효과, 이차 흡수 효과",secondary extinction effect,
이차 이온 질량 분석법,secondary ion mass spectroscopy,
이차 대사물,secondary metabolite,
2차가소제,secondary plasticizer, 二次可塑劑
부수 반응,secondary reaction,
이차 구조,secondary structure, 二次構造
이차 원자가,secondary valence,
2차 이온 질량 분광법,secondary-ion mass spectrometry,
2차 상 전이,second-order phase transition,
2차반응,second-order reaction, 二次反應
2차전이점,second-order transition point, 二次轉移點
분비,secretion,
구분적정,sectional titration, 區分滴定
"부채꼴, 섹터",sector,
구분법,sector method, セクタ－法
영년 행렬식,secular determinant,
영년방정식,secular equation,
영년 평형,secular equilibrium, 永續平衡
"가라앉은 것, 침강물",sediment, 沈降物
퇴적물운반,sediment transport,
침강계수,sedimentation coefficient, 沈降係數
침강평형,sedimentation equilibrium, 沈降平衡
침강 평형법,sedimentation equilibrium method,
침강 전위,sedimentation potential,
침강 속도,sedimentation rate,
침강속도,sedimentation velocity, 沈降速度
침강 속도법,sedimentation velocity method,
침강부피,sedimentation volume, 沈降體積
침전적정,sedimetry, 沈殿滴定
씨,seed, ぬか泡【ガラス】
씨결정,seed crystal, 種 晶
씨섬유,seed fiber, 種子纖維
"씨심기, 접종",seeding,
"제거콘, 고온측정추",Seger cone, ゼ－ゲルコ－ン
지게르 콘,seger cones,
분절,segment, セグメント
분절회전,segment rotation, セグメント回轉
"분리, 격리, 편석",segregation, (1)偏 折  (2)ブレ－ク【色】
분리계수,segregation coefficient,
탄성파 탐사,seismic profiling,
선택 영역 분석법,selected area analysis,
선택,selection, 選 別
선택 규칙(률),selection rule, 選擇則
선택흡수,selective absorption, 選擇吸收
선택성 반응,selective reaction,
선택성 시약,selective reagent,
선택독성,selective toxicity, 選擇毒性
선택성,selectivity, (1)選擇性  (2)選擇率
선택계수,selectivity coefficient,
선택인자,selectivity factor,
셀레늄산 염,selenate, セレン酸鹽
셀레늄산,selenic acid, セレン酸
셀레늄화물,selenide, セレン化物
아셀레늄산,selenious acid, 亞セレン酸
아셀레늄산 염,selenite, 亞セレン酸鹽
셀레늄,selenium, セレン
셀렌 전지,selenium cell,
이산화 셀레늄,selenium dioxide, 二酸化セレン
"자기 상보성, 자체 상보성",self complementarity,
자체 역전<<스펙트럼선의>>,self reversal,
자체 흡수,self-absorption, 自己吸收
자기 조립,self-assembly, 自己集合
자기회합,self-association, 自己會合
자체 일관성 장,self-consistent field,
모순없는 장 방법,self-consistent field method,
자급식,self-contained system, 自給式
자체 확산,self-diffusion, 自己擴散
자체 방전,self-discharge, 自己放電
자체 해리,self-dissociation,
자체 전극,self-electrode, 自己電極【分光】
자기인덕턴스,self-inductance, 自己インダクタンス
발광안료,self-luminous pigment, 發光顔料
자기소광,self-quenching, (1)自己失活  (2)自己消光
자기 복제,self-replication,
자체 이어맞추기,self-splicing,
자연가황,self-vulcanizing, 自然加硫【ゴム】
반자동형,semiautomatic mold, 半自動型
곁다리 기,semibridging group,
세미카바자이드,semicarbazide, セミカルバジド
"세미카바존, 세미카르바존",semicarbazone(s),
반화학펄프,semichemical pulp, セミケミカルパルプ
반성코오크,semicoke, 半成コ-クス
반도체,semiconductor, 半導體
반보존 복제,semiconservation replication,
반건식,semidry process, 半乾式
반건성유,semidrying oil, 半乾性油
반실험적 방법,semi-empirical method,
반경험적분자궤도법,semiempirical molecular orbital method, 半經驗的分子軌道法
반광택,semigloss, 半光澤
반수소화 (반응),semihydrogenation,
반금속,semimetal,
반미량 분석,semimicro analysis,
반미량 저울,semimicro balance,
반미량저울,semimicrobalance, 小量てんびん / はかり
반투과성,semipermeability,
세미퀴논,semiquinone, セミキノン
반고체,semisolid, 半固體
준안정돌로마이트내화물,semistable dolomite refractories, 準安定ドロマイト耐火物
반수성기체,semi-water gas, 半水性ガス
의미 가닥,sense strand,
느낌열,sensible heat, 顯 熱
"감도, 민감(도)",sensitivity, 感 度
감광핵,sensitivity speck, 感光核
"감광화, 증감화",sensitization, 增 感
"증감 유발 형광, 증감 유도 형광",sensitized fluorescence,
"감광제, 증감제",sensitizer, 增感劑
감도측정,sensitometry, (1)感度測定  (2)センシトメトリ－【寫】
감지기,sensor, センサ－
감각계,sensory system,
분리 원자 모형,separate atom model,
"분리, 분리각",separation, 分 離
분리인자,separation factor,
분리속도,separation rate, 分離速度
분리기,separator, (1)分離器  (2) セパレ－タ－【電池】
분별 깔대기,separatory funnel,
칠중선,septet, (1)七重線  (2)七重項
무덤형 리간드,sepulchrand ligand,
무덤형 화합물,sepulchrate,
서열 분석기,sequenator, 配列決定裝置
"배열<<고분자의 단위 부분>>, 서열, 순서",sequence, 配列〔順序〕
순차 띠,sequence band,
순위 결정 규칙,sequence rule, 順位規則【置換基の】
순차 자동 분광기,sequential automatic spectrometer,
순차 반응,sequential reaction,
격리 작용,sequestering action,
은폐,sequestration,
계열 극한,series limit,
세린,serine, セリン
혈청학,serology, 血淸學
설정값추정메카니즘,servomechanism, サ－ボ機構
세스퀴옥사이드,sesquioxide, 三二酸化物
세스퀴터펜,sesquiterpene, セスキテルペン
앉은 방울,sessile drop,
"설정, 경화",setting, (1)セッティング【色】 (2)セット【印】 (3)凝結【セメント】 (4)硬 化【樹脂】
"경화시간, 응고시간",setting time, (1)凝結時間【セメント】  (2)硬化時間【樹脂】
침강기,settler, 沈降タンク
침강탱크,settling tank, 沈降タンク
성 호르몬,sex hormone, 性ネルモン
"육전자계, 육중선, 육중항 (상태)",sextet, (1)六重線  (2)六重項  (3)セクステット
축가마,shaft kiln, 立がま
진탕기,shaker, ふりまぜ機 / 振とう機【化工】
흔들기,shaking, ふりまぜ / 振とう【化工】
진동배양,shaking culture, 振とう培養
혈암유,shale oil, けつ岩油
얕은 함정,shallow trap,
형상인자,shape factor, 形狀係數【化工】
형상선택성,shape selectivity,
공유 전자,shared electron,
예리도,sharpness, 鮮銳度【寫】
예리 지수,sharpness index,
깎기,shaving, 裏削り【皮革】
엇밀림,shear, ず り / せん斷
엇밀림탄성율,shear modulus, 剛性率
엇밀림속도,shear rate, ずり速度 / せん斷速度
엇밀림안정도,shear stability, せん斷安定度【石油】
엇갈림 구조,shear structure,
"가위질, 엇밀기",shearing, (1)ず り / せん斷  (2)シヤリング【纖】
엇밀림변형력,shearing stress, ずり應力 / せん斷應力
양털,sheep wool,
보존 수명,shelf life, (1)貯歲壽命  (2)保存性
"껍질, 조개 껍질",shell, はく離板【電型法】
다관응축기,shell and tube condenser, 多管凝縮器
세라다이징,sheradizing,
아연피복법,sherardizing,
가려막이,shield,
"가려막기, 가리움",shielding, しゃへい【核磁氣】
가려막기 효과,shielding effect,
"옮김, 이동, 자리 밀음",shift,
이동 연산자,shift operator,
변위반응,shift reaction, シフト反應
이동 시약,shift reagent, シフト試藥
보정 코일,shimming coil,
배밑칠,ship-bottom paint, 船底塗料
충격관,shock tube, 衝擊波管
충격파,shock wave, 衝擊波
완충고무,shock-absorbing rubber, 緩衝ゴム
쇼어경도,Shore hardness, ショア硬さ
단주기,short period,
단거리 힘,short range force,
단거리 질서,short range order,
합선전압,short-circuit voltage, 短絡電壓
짧은 주기,short-period,
단거리질서,short-range order, 短距離規則度
단시간안정성,short-time stability, 短時間安定性
산탄 잡음,shot noise,
어깨,shoulder, 肩【スペクトルの】
절단기,shredder, 破碎機【纖】
수축,shrinkage, (1)縮 み  (2)收縮
수축허용도,shrinkage allowance, 縮み代【纖】
무수축,shrink-proofing, 防縮加工
왕복 과정,shuttle,
시알산,sialic acid, シァル酸
시알리다아제,sialidase, シアリダ－ゼ
낫세포 빈혈(증),sickle cell anemia,
곁띠,side band,
곁띠 변조,side band modulation,
"곁사슬, 측쇄",side chain, 側 鎖
부반응,side reaction, 副反應
옆가지플라스크,side-arm flask, 枝付きフラスコ
측면심 격자,side-centered lattice,
측면심 단위 세포,side-centered unit cell,
옆배위,side-on coordination,
항성일,sidereal day,
항성월,sidereal month,
능철광,siderite, りょう鐵鑛
친철원소,siderophile elements, 親鐵元素
친철성,siderophilic,
지멘스,siemens,
체,sieve, ふるい
체분석,sieve analysis, ふるい分析
체구멍,sieve opening, ふるい目の開き
시버트,sievert,
체질,sieving, ふるい分け
시그마 결합,sigma bond,
시그마 오비탈,sigma orbital,
시그마결합 자리옮김 (반응),sigmatropic rearrangement, シグマトロピ-轉位
시그마결합 이동,sigmatropic shift,
신호,signal,
신호발생기,signal generator, 信號發生器
신호 대 바탕비,signal to background ratio,
신호 대 잡음비,signal to noise ratio,
실란,silane, シラン
실란올,silanol, シラノ－ル
실라제인,silazane, シラザン
무음방전,silent discharge, 無音放電
침묵 돌연변이,silent mutation,
실리카,silica, シリカ
규석벽돌,silica brick, けい石れんが
실리카 겔,silica gel, シリカゲル
규산유리,silica glass, 石英ガラス
수화 실리카 겔,silica hydrogel,
실리카겔그리스,silica-gel grease, シリカゲルグリ－ス
규산염유리,silicate glass, ケイ酸鹽ガラス
규산이온,silicate ion, ケイ酸イオン
규산염 구조,silicate structure,
규산질혼합제,siliceous admixture, シリカ質混合材
규산,silicic acid, ケイ酸
규소화물,silicide, ケイ化物
규화,silicification, けい化
실리코플루오르화,silicofluoride, ケイフッ化物
규소,silicon, (1)ケイ素【元素】  (2)シリコン【半導體】
탄화 규소,silicon carbide, 炭化ケイ素
이산화 규소,silicon dioxide, 二酸化ケィ素
유기규소 중합체,silicone,
유기규소그리스,silicone grease, シリコ－ングリ－ス
유기규소기름,silicone oil, シリコ－ン油
규소수지,silicone resin, シリコ－ン樹脂
실리콘고무,silicone rubber, シリコ－ンゴム
실리콘류,silicones,
사일로,silo, サイロ
실록세인,siloxane, シロキサン
은,silver, 銀
아세틸화 은,silver acetylide, 銀アセチリド
브롬화 은,silver bromide, 臭化銀
크롬산 은,silver chromate, クロム酸鐵
사이안화 은,silver cyanide, シアン化銀
아이오딘화 은,silver iodide, ヨウ化銀
은거울반응,silver mirror reaction,
질산 은,silver nitrate, 硝酸銀
산화 은,silver oxide, 酸化銀
산화은 전지,silver oxide cell,
은얼룩,silver stain, 銀汚染【寫】
은박,silvering, 銀引き【めっき】
은-거울 시험,silver-mirror test,
은-염화은 전극,silver-silver chloride electrode,
상사 변환,similarity transform,
단순입방격자,simple cubic lattice,
단증류,simple distillation, 單蒸留
단순 섬유 구조,simple fiber structure,
단순 격자,simple lattice,
단순단백질,simple protein, 單純タンパク質
홑원소 물질,simple substance, 單 體
단순 단위세포,simple unit cell,
"모사, 모의 실험",simulation,
동시 반사,simultaneous reflection,
단일결합,single bond, 單結合
단일 통로 분석기,single channel analyzer,
단결정,single crystal, 單結晶
단일 원소 등,single element lamp,
단일 상태 엑시톤,single exciton,
단섬유,single fiber, 單纖維
단일유체전지,single fluid cell, 單液電池
외접시형,single pan type,
단광자 계측,single photon counting, 單光子計數[法]
외가닥,single strand,
단세포단백질,single-cell protein, 單細胞タンパク質
단일 통로 전도,single-channel conductance,
단일 집중 질량 분석계,single-focussing mass spectrometer,
단일사슬,single-strand,
단일사슬고분자,single-strand polymer, 單條ポリマ－
단일쓸기법,single-sweep method, 單掃引法【ポ－ラログラフィ-】
"단일선, 단일항^(상태)",singlet, (1)一重線  (2)一重項
단일항 전자 상태,singlet electronic state,
단일항산소,singlet oxygen, 一重項酸素
단일항상태,singlet state, 一重項狀態
단일성,singularity,
"수채(통), 싱크",sink,
부침시험,sink and float test, 浮沈試驗
"소결, 신터",sinter,
소결 유리 거르게,sintered-glass filter, ガラス瀘過器
소결,sintering, (1)半 融  (2)燒 結
소결띠,sintering zone, 燒成帶
사인 함수,sinusoidal function,
사인파,sinusoidal wave,
사이폰,siphon,
사이폰컵,siphon cup, サイホンカップ
자매 염색분체,sister chromatid,
자리 대칭,site symmetry,
자리특이성 재조합,site-specific recombination,
육중심 반응,six-center reaction,
육원자 고리,six-membered ring, 六員環
"크기, 사이즈, 섬도",size, (1)サイズ【紙】  (2)纖 度【纖】
입도 분포,size distribution, 粒度分布
"크기결정, 풀칠",sizing, (1)分 粒  (2)めり付け【纖】
골격 자리옮김 (반응),skeletal rearrangement,
뼈대 구조,skeletal structure,
비틀린 보트 형태,skew boat conformation,
비틀린 보트 구조,skew boat structure,
비틀린 형태,skew conformation,
비틀린형,skew form, スキュ-形
미끄러진 자국,skid mark,
스키머,skimmer, スキマ－
분탄,slack coal, 粉 炭
휴조,slack water,
슬랙,slag, スラグ
슬랙벽돌,slag brick, スラグれんが
소석회,slaked lime, 消石灰
소화,slaking, 消 化【窯】
슬레이트,slate, スレ－ト
슬레이터행렬식,slater determinant, スレ－タ－行列式
슬라이드유리,slide glass, スライドガラス
미끄림 속력,sliding speed,
슬라이산화시험,sligh oxidation test, スライ酸化試驗
점액,slime, 粘 液
점액균,slime bacteria, 粘液菌
슬릿,slit, スリット
슬릿함수,slit function, スリット關數
슬릿영상법,slit image method, スリット結像法
슬릿 나비,slit width,
기울기 비율법,slope ratio method,
느린연소,slow combustion, 緩慢燃燒
느린냉각,slow cooling, 徐 冷
느린현상,slow development, 緩速現像
느린동결,slow freezing, 緩慢凍結
느린 중성자,slow neutron,
슬러지,sludge, (1)汚 泥【水質】 (2)スラッジ  (3)ねば土【窯】
슬러지 나이,sludge age,
슬럼프시험,slump test, スランプ試驗【セメント】
곤죽,slurry, スラリ-
작은각산란,small-angle scattering, 小角散亂
작은고리화합물,small-ring compound, 小環狀化合物
비누 액정,smectic liquid crystal, スメクチック液晶
스멕틱 상태,smectic state,
용융 제련,smelting,
스모그,smog, スモッグ【大氣】
연기,smoke,
연기피해,smoke damage, 煙 害
연기농도계,smoke indicator, ばい煙濃度計
발연점,smoke point, (1)煙點【油脂】 (2)煙 點【石油】
연기관,smoke tube, 煙 管
무연연료,smokeless fuel, 無煙燃料
무연화약,smokeless powder, 無煙火藥
훈연,smoking, くん煙
평활도,smoothness, 平滑度
신호대잡음비,SN ratio,
비누,soap, (1)セッケン【化合物】  (2)せっけん【工業製品】
소다회,soap ash, ソ－ダ灰
